,Np,Nt,Kp,Kt,lp,Rg,E2E,zd,lb,sd_lp,sd_Rg,sd_zd
137,32.0,32.0,4.0,4.0,1.759705950228213,3.758768881575193,9.521007757619566,8.831160818181816,0.9547575867473305,0.07038661024836211,0.38524383915230215,3.7498160144957127
138,32.0,32.0,4.0,16.0,1.7626959476207213,3.8930348829209964,9.963638176055271,19.543401181818183,0.9526702496219539,0.07463042099572284,0.975725163704822,5.660309927895064
139,32.0,32.0,4.0,64.0,1.9381444803080743,4.145375040486593,11.160615956404332,27.418219999999998,0.9548650714656469,0.08219580359919341,0.7948884616185015,2.057263508304175
140,32.0,32.0,16.0,0.25,7.635731529268535,6.411111606397234,17.807572597489948,8.367000909090907,0.9538308276144529,0.10831146921260747,0.42112126552290585,2.8413766689932496
141,32.0,32.0,16.0,1.0,6.9584811889377916,6.276663036307713,18.609626837588607,8.983329999999999,0.9524890042786581,0.3582546588820871,0.5122997497342856,2.125810780949236
142,32.0,32.0,16.0,4.0,4.811291093312007,5.640111087444802,14.211308035953056,11.409433636363637,0.9536195982934619,0.17455643024890374,0.26111434027984787,2.487221289578439
143,32.0,32.0,16.0,16.0,5.89826491879843,5.799645304119332,15.437030292999497,22.329105454545456,0.9532690599271688,0.1563466214604484,1.0751214937411981,2.730942057716826
144,32.0,32.0,16.0,64.0,4.6272324839106,5.382786993518892,14.454984173557891,26.67558181818182,0.9531641532150471,0.07853716400953406,0.5385537655134779,3.9446405820344475
145,32.0,32.0,64.0,0.25,22.376661492988525,7.75927160517594,24.191831929874652,10.936157272727272,0.9541044564031373,0.28661301438307046,0.2901059958804379,1.918086396338766
146,32.0,32.0,64.0,1.0,29.78060403155424,7.998991894317465,25.167899128412603,9.956004545454546,0.9505352989110724,0.3147551219296637,0.15022856233938178,2.1766550029193614
147,32.0,32.0,64.0,4.0,28.58918188624294,7.980434861105842,24.940659657677987,13.009260727272727,0.9504335562874255,0.4590536220271623,0.1284344485209364,3.153410508025444
148,32.0,32.0,64.0,16.0,30.25975998659671,7.975320335926491,25.460300280508037,18.65137481818182,0.952569087539461,0.4279331351433694,0.09900965352456935,4.760915980593628
149,32.0,32.0,64.0,64.0,18.767665479663435,7.462265224018915,23.50012197929169,29.11128181818182,0.9553870001091187,0.35913212674780015,0.2872671272374285,2.913913386741798
150,32.0,64.0,0.25,0.25,1.1924442128567985,3.773716985018922,9.987403057435905,13.611072727272727,0.9561107811762873,0.08203162461662668,0.2016049486568197,2.2324280736009503
151,32.0,64.0,0.25,1.0,1.2251069486557031,3.6667445372744343,9.029826494402343,14.106967272727275,0.9557951700895253,0.06980336009408489,0.17565498062554477,4.383684578046379
152,32.0,64.0,0.25,4.0,1.057237466439746,3.451983399409727,8.580118533909568,16.947799999999997,0.9543166218409341,0.06817073178387124,0.22464025390112505,2.519986059846002
153,32.0,64.0,0.25,16.0,1.1193862114833462,3.622947239239813,9.97367529658854,34.52682104345455,0.9570793205264084,0.09536655170662871,0.5101611970661671,2.735771715282142
154,32.0,64.0,0.25,64.0,1.2130911889243101,3.4946480304265464,7.331623927907952,48.34861818181818,0.9590824899525956,0.10507160188224329,0.31964536006655525,3.652746508841154
